id,text_es,
flavor_crypt1,Las paredes rezuman humedad y el aire está helado.,
flavor_crypt2,Escuchás el eco de pasos que no son los tuyos.,
flavor_crypt3,Una vela encendida tiembla en medio de la oscuridad.,
flavor_forest1,El viento agita las copas de los árboles con un lamento extraño.,
flavor_forest2,El suelo cruje bajo tus pies, como si ocultara algo.
flavor_forest3,Un búho ulula, y el bosque responde en silencio absoluto.
flavor_ruins1,Columnas derruidas se elevan como esqueletos de piedra.,
flavor_ruins2,El suelo está cubierto de polvo y huesos antiguos.,
flavor_ruins3,Grabados extraños brillan tenuemente en las paredes.,
